tag,type,width,what,param_dict
Count,Integer,,var,
_temp1,Integer,4,var,
,Car,,record,
Car,,,record_type,
Float,,8,type,
Integer,,4,type,
Ada.Text_IO,,,default_lib,
_temp2,Integer,4,var,
LoopDemo,,,procedure,{}
_temp3,Integer,4,var,
Independence_Day.Identity,Integer,,var,
k,Integer,,var,
Independence_Day.Consumption,Float,,var,
Ada.Integer_Text_IO,,,default_lib,
scan,,,default_function,
print,,,default_function,
Ada.Gnat_IO,,,default_lib,
Temperature,Integer,,var,
